V5	V6	V7	V8
278594416	3599861181	268097408	756829904
296744651	3834389667	285563770	806136853
313650923	4052844279	301833041	852064453
332331822	4294229736	319810071	902813002
573769360	4112165877	347137530	792249466
613381627	4396064292	371103439	846945307
627842703	4499705839	379852568	866912877
655199366	4695769173	396403686	904686419
765985034	3383978140	421396892	802547582
802376123	3544747142	441416985	840675717
834475066	3686554250	459075809	874306830
862470837	3810234314	474477326	903638916
801276299	3724802314	396720461	996947760
853519261	3967658251	422586510	1061948439
873873078	4062274732	432663902	1087272653
912016842	4239589328	451549288	1134731115
492841830	3965977215	511694731	973508236
505743261	4069797099	525089687	998992374
519905974	4183766722	539794172	1026967917
536574313	4317899520	557100133	1059892812
362776282	4226487121	437204948	860988284
368576889	4294066492	444195632	874755047
375571474	4375556172	452625254	891355514
386124776	4498506309	465343715	916401994
78726133	4978991554	408362322	835936503
81813393	5174243653	424376328	868717912
82807715	5237128971	429533998	879275900
85806157	5426763835	445087295	911114216
108113998	4975570219	486907765	719285721
111137034	5114694930	500522466	739398073
112091412	5158616855	504820652	745747579
116519683	5362412626	524764043	775209004
332270467	5224235470	715664327	678300045
342538663	5385680668	737780590	699261636
349137657	5489435606	751993906	712732885
359306614	5649320490	773896423	733491889
386331823	5662821652	1054042453	735251183
401531292	5885614282	1095511690	764178201
413720596	6064284146	1128768188	787376394
424024868	6215323353	1156881688	806987069
291498087	6515134256	1083634974	933094921
273467239	6112135392	1016605862	875377585
300259009	6710945430	1116203426	961138920
318818206	7125753153	1185196656	1020547516
